abandon	vt. 抛弃，放弃
distribute	vt. 分发，分送，分布
disunite	v. 使分离
diverge	vi. 分歧，差异
divergent	adj. 分歧的，分叉的
diverse	adj. 不同的
diversify	v. 使多样化
divide	v. 分割，除
divulge	vt. 宣布，泄露
doctrine	n. 教义，主义，学说
dodge	v. 躲开，逃避责任
dogma	n. 教义，教条
dogmatic	adj. 教条的，武断的
doleful	adj. 悲哀的
dolphin	n. 海豚
domestic	adj. 家内的，国内的
dominant	adj. 占优势的，主导的
dominate	v. 统治，支配，控制
domineering	adj. 盛气凌人的，专横的
dominion	n. 领土，主权
donate	v. 捐赠
donor	n. 捐赠者
doom	v. 命定的，注定失败的
dormant	adj. 休眠的
dormitory	n. 宿舍
doubt	v. n. 怀疑
doubtful	adj. 未确定的，不可靠的
downcast	adj. 沮丧的
down-hearted	adj. 情绪低落的
doze	v. 瞌睡
drag	v. 拖动
drastic	adj. 激烈的
drawback	n. 弊端，退款
dread	v. 畏惧，恐怖
drizzle	v. 下细雨
drought	n. 干旱
drowsy	adj. 昏昏欲睡的
dual	adj. 二重的，两层的
dubious	adj. 怀疑的
ductile	adj. 柔软的，训良的
due	adj. 预定的，应得的，到期的
dumb	adj. 哑的，无言的
dungeon	n. 地牢
durable	adj. 耐久的，持久的
dusky	adj. 微暗的，肤色黑的
dwell	vi. 居住
dwelling	n. 住所
dwindle	v. 减少
dye	n. 颜料，染色
eager	adj. 渴望的，热心的
ebb	v. 退潮，衰退
eccentric	adj. 古怪的
economic	adj. 经济的
economical	adj. 节约的，经济的
economics	n. 经济
economize	v. 节俭
ecstasy	n. 恍惚，狂喜
edge	n. 边
edible	adj. 可食的
edify	v. 陶冶，教化
efface	v. 涂抹，消除
effect	n. 效果，印象
effective	adj. 有效的，有影响的
effectuate	v. 使实现
efficient	adj. 有效率的
effuse	v. 流出，散布
egoist	n. 自我主义者
eject	v.  喷出，逐出
elaborate	adj. 精心制作，详细阐述, 精心构思的
elapse	v. 消逝
elasticity	n. 弹性
elation	n. 得意洋洋
election	n. 选举
elegant	adj. 雅致的
element	n. 元素
elementary	adj. 基本的，初级的
elevate	vt. 提高，抬高
elite	n.精华，中坚
eloquence	n. 雄辩
eloquent	adj. 雄辩的，有口才的
elucidate	vt. 阐明，说明
elude	v. 躲避，困惑
elusive	adj. 难懂得，躲避的
emaciate	v. 使瘦弱
emaciated	adj.瘦弱的，憔悴的
embalm	vt. 铭记，使不朽
embarrass	vt. 使困窘
embellish	v. 装饰，修饰
embezzle	vt. 盗用
embody	vt. 体现，包含
embrace	vt. 拥抱，包含
embroider	vt. 绣花，装饰
emend	vt. 修订
emerge	vt. 出现
emigrate	vt. 移民
eminent	adj. 杰出的
emphasize	vt. 强调，着重
emphatic	adj. 显著的，着重的，强调的
employee	n. 雇员
employer	n. 雇主，雇用者
empower	v. 授权，使能够
empty	adj.  空的
emulate	v. 与竞争，仿效
enable	vt. 使能够
enact	vt. 制定，扮演
enchant	vt. 施魔法于
encompass	v. 包围，环绕
encourage	vt. 鼓励
encroach	vt. 蚕食，侵占
encumber	v. 阻碍，妨碍
endanger	vt. 危害
endeavour	n. 努力
endless	adj. 无止境的
endorse	v. 确认。支持，赞同
endure	v. 忍受，容忍
energetic	adj. 积极的，精力旺盛的
energize	vt. 供给能量，使活跃
enervate	v. 使衰弱
engender	v. 产生
engross	vt. 全神贯注于
engrossed	adj. 全神贯注的
engulf	vt. 吞没，吞食
enhance	vt. 增加
enigma	n. 谜
enigmatic	adj. 象谜一般的，难解的
enlighten	vt. 启发，开导，启蒙
enlist	vt. 征召，招募
enormous	adj. 巨大的
enrage	vt.  激怒
enrapture	vt. 使狂喜，使出神
enrich	v. 丰富
enslave	v. 奴役
entail	v. 惹起，使负担
entangle	vt. 使纠缠，使迷惑
enterprise	n. 事业，企业
entertain	vt. 招待，娱乐
enthral	v. 迷惑，使服从
enthusiasm	n. 热情
entice	v. 诱惑
entitle	v. 题目为，给称号，给于权力
entitle	v. 有资格的
entity	n. 实体
entrap	v. 以网或陷阱捕捉
entrepreneur	n. 企业家，主办人
entry	n. 进入，入口，登记
enumerate	v. 枚举，计数
enunciate	v. 阐明，清晰发音
envelop	vt. 包围
envoy	n. 使者，公使
episode	n. 插曲
epoch	n. 纪元，时代
equal	adj. 相等的，同样的
equate	vt. 使相等，视为同等
equation	n. 等式
equator	n. 赤道
equilibrium	n. 平衡状态
equipment	n. 设备
equitable	adj. 公平的，公正的
equivalent	adj. 相等的，等同品
equivocate	vi. 说模棱两可的话，支吾
equivocal	adj. 模棱两可的，意义不清的
erase	v. 消除
erect	v. 建设，直立
erode	v. 蚀，腐蚀
erosion	n. 腐蚀
err	vt. 错误，犯错
erratic	n. 古怪的，不稳定的
erroneous	adj. 错误的
erupt	vt. 爆发
escape	v. 避免，逃避
eschew	vt. 避开，远离
escort	v. 护送
essential	adj. 重要的，基本的
esteem	n. 尊敬
estimable	adj. 可估计的
estimate	v. 估计
eternal	adj. 永恒的
ethics	n. 伦理学
ethnic	adj. 种族的
etiquette	n. 礼节
euphonious	adj. 悦耳的
evacuate	v. 疏散，使….空
evade	v. 逃避，回避
evaluate	v. 评价，估价
evaporate	v. 蒸发
evasion	n. 逃避
evasive	adj. 逃避的，推委的
even	adj. 平的，偶数的
eventual	adj. 最后的
evidence	n. 证据，证人
evident	adj. 明白的
evoke	vt. 唤起
evolutionary	adj. 进化的
evolve	v. 使进化，使发展
exacting	adj. 费力的，严格的
exaggerate	v. 夸大，夸张
exalt	v. 称赞，提升
exalted	adj. 尊贵的，兴奋的
exasperate	v. 激怒
excavate	v. 挖掘
excellent	adj. 优秀的，杰出的
exception	n. 例外
exceptional	adj. 卓越的，例外的
excerpt	n.v.  摘录
excess	n. 过度
excessive	adj. 过多的，极度的
exchange	vt.n. 兑换，交换，
excitement	n. 激动，兴奋，刺激
exclaim	v. 呼喊，惊叫
exclude	v. 把….排除在外
exclusion	n. 除外，拒绝
exclusive	adj. 排外的，独占的
excuse	n. 借口
exemplary	adj. 模范的，典范的
exemplify	vt. 例证，例示
exempt	v. 免除，被免除的
exert	v. 发挥，施加
exhale	v. 呼出，发出，散发
exhaust	v. 使疲倦
exhaustive	adj. 五遗漏的，彻底的，广泛的
exhibit	v. 显示
exhume	vt. 掘出
exile	n. 流放，放逐，被流放者
exist	vi. 生存
exit	n. 出口，退出
exodus	n. 大批离去
exorbitant	adj. 过分的，过度的
exotic	adj. 外来的，有异国风味的
expansive	adj. 广阔的，可扩张的，可膨胀的
expedient	adj. 权宜的，方便的
expedite	vt. 加速，派出，畅通
expedition	n. 远征
expeditious	adj. 敏捷的，迅速的
experienced	adj. 有经验的
expertise	n. 专门知识
expire	v. 失效，断气
explicit	adj. 明确的，清楚的
explode	vi. 爆炸
exploit	vt. 开发，剥削
explore	v. 探险，探索
explosive	adj. 爆炸的，炸药
exponent	n. 解释着，指数
exposure	n. 曝光
expound	v. 解释
exquisite	adj. 精美的，灵敏的
extant	adj. 现存的
extemporaneous	adj. 即席的
extension	n. 延伸
extensive	adj. 大量的，广泛的
extenuate	vt. 使…显得轻微
exterminate	v. 消灭
external	adj. 外部的
extinct	adj. 熄灭的，灭绝的
extinction	n. 灭绝
extinguish	vt. 熄灭，消灭
extol	v. 颂扬
extort	v. 勒索，强索
extraneous	adj. 外来的，无关的
extravagant	adj. 奢侈的，浪费的
extricate	vt. 救出，使解脱
exude	v. 渗出，流出
exultant	adj. 欢腾的，狂欢的
eyewitness	n. 目击者
fable	n. 寓言，传说
fabricate	vt. 制造，伪造
facet	n. 方面，平面
facetious	adj. 幽默的，滑稽的
facile	adj. 轻而易举的，随和的
facility	n. 熟练，工具
factious	adj. 党派的
faint	adj. 混晕的，模糊的，微弱的
faithful	adj. 忠实的。n. 信徒
fallible	adj. 易错的
familiarize	v. 熟悉
famish	v. 使挨饿
fanatic	adj. 盲信者，狂热的
fanaticism	n. 狂热，盲从
fantasy	n. 幻想，空想，怪念头
farce	n. 闹剧
fascinate	v. 使迷惑
fashionable	adj. 流行的，时髦的
fatalism	n. 宿命论
fateful	adj. 重大的，预言性的，致命的，
fatuous	adj. 愚昧的
feasible	adj. 切实可行的
feat	n. 功绩，壮举
feeble	adj. 微弱的
feign	v. 假装
fermentation	n. 发酵
ferocious	adj. 凶猛的
ferret	v. 搜索
fertile	adj.肥沃的，多产的
fertilizer	n. 肥料
fervent	adj. 白热的，强烈的
fester	v. 化脓
fetter	n. 束缚
feud	n. 世仇，不和
feverish	adj. 发烧的
fickle	adj. 多变的
fiction	n. 小说
fictitious	adj. 虚构的
fidelity	n. 忠诚
figment	n. 虚构之事
figure-head	n. 名义领袖
filthy	adj. 污秽的，卑鄙的
final	adj. 最后的
finance	n. 财政，资助
finch	n. 鸣噙
fine	n. 罚金，细微的
firm	adj. 坚挺的，结实的
fishy	adj. 值得怀疑的
fit	vt. 适合的
fitful	adj. 一真真的，断续的
fitting	adj. 适当的，配合
fixed	adj. 固定的
fixture	n. 固定设备
flare	n.v. 闪耀
flatter	vt. 奉承，阿谀，谄媚
flavour	n. 味，风味
flaw	n. 缺点
flay	vt. 剥皮
flee	v. 逃跑
flexible	adj.灵活的，变通的
flicker	v. 闪烁
flighty	adj. 轻浮的
flimsy	adj. 脆弱的，薄弱的
flip	v. 弹，投，翻滚
flora	n. 植物界
flounder	vi. 挣扎，踌躇
flout	v. 嘲弄
fluctuate	v. 波动，使波动
fluent	adj. 流利的，流畅的
fluffy	adj. 绒毛的
flush	v. 冲洗，脸红
fluster	v. 使慌乱
foam	n. 泡沫
foe	n. 敌人
fog	n. 雾
foil	vt. 阻止
foment	v. 引发
forbid	v. 禁止
foremost	adj. 最初的，第一流的
forerunner	n. 先驱，祖先
foresee	vt. 预知
foresight	n. 预见，远见
forestall	vt. 预先阻止
foretell	vt. 预言
forge	v. 铸造，伪造
forlorn	adj. 掘网，被遗弃的
formal	adj. 正式的，礼仪上的
former	dj. 以前的
formidable	adj. 可畏惧的，可怕的
forsake	vt. 遗弃，抛弃，
fort	n. 要塞，堡垒
forte	n. 长处
forth	adv. 向前
forthright	adj. 直接的，立即的
fortify	v. 加强
fortitude	n. 坚韧，刚强
fortress	n. 堡垒，要塞
fortuitous	adj. 偶然的，意外的
fortunate	adj. 幸运的
fortune	n. 财富
foul	adj. 违规的，邪恶的
fowl	n. 鸡，家禽
fraction	n. 片断，分数
fracture	n. 断裂，骨折
fragile	adj. 脆的，体制弱的
fragment	n. 碎片，破片
fragmentary	adj. 碎片的，不连续的
fragrant	adj. 香的，芬芳的
frail	adj. 脆弱的，意志薄弱的
frank	adj. 坦白的，直率的
fraternal	adj. 兄弟的，兄弟般的，友爱的
fraud	n. 欺骗
fraudulent	adj. 欺骗的，不诚实的
fraught	adj. 充满的
frenzy	n. 狂热
fret	v. 激怒
friction	n. 摩擦
fright	n. 惊吓，恐怖
frigid	adj. 严寒的，冷淡的
frown	v. 皱眉，反对
frowzy	adj. 不整洁的，臭的
frugal	adj. 节约的
frustrate	v. 破坏，挫败
fulminate	v. 猛烈爆发
functional	adj. 有用的
fund	n. 资金，基金，投资
fundamental	adj. 基础的，基本的
furious	adj. 狂怒的，狂暴的
furniture	n. 家具
further	v. 促进，增进，更多的
fury	v. 勃然大怒
fusion	n. 融合，联合
fussy	adj. 过分挑剔的
futile	adj. 无意的，徒劳的
fuzz	adj. 有绒毛的，绒毛状的
gabble	vt. 急促而不清楚地说出
gainful	adj. 有利的，有报酬的
gainsay	v. 否认，反驳
galaxy	n. 星系，银河
gale	n. 大风
gallant	adj. 英勇的
gallery	n. 画廊
gangster	n. 暴徒，歹徒
gap	n. 裂口，差距
garb	n. 服装，装束
garner	v. 储存
garnish	v. 加装饰
gash	n. 深的切口
gasoline	n. 汽油
gasp	vt. 气喘，喘息
gauche	adj. 笨拙的，粗鲁的
gauge=gage	v. 精确计量
gaze	n. 凝视
gear	n. 齿轮
gem	n. 宝石
general	n. 普通的
generalize	v. 归纳，概括
generally	adv. 广泛的，一般的
generate	vt. 造成
generous	adj. 慷慨的，大方的
generously	adv. 宽大的
genial	adj. 和蔼的
genre	n. 题材，风格
genteel	adj. 上流社会的
gentility	n. 有教养，文雅
gentry	n. 贵族
genuine	adj. 真实的
geometry	n. 几何学
germinate	v. 发芽
gibe	v. 讥笑
gild	v. 镀金，虚事
girdle	n.带，腰带，带状物
gist	n. 要旨
glacial	adj. 冰河，冰川
glamour	n. 魅力
glamorous	adj. 富有魅力的
glaring	adj. 耀眼的，瞪眼的
glaze	v. 上釉使光滑，釉
gleam	v. 闪光，闪烁
glean	v. 收集
gleeful	adj. 及高兴的，兴奋的
glide	v. 滑动，溜走
gloom	n. 黑暗，忧愁
gloomy	adj. 暗的，忧郁的
glorious	adj. 光荣的，壮丽的
glossary	n. 词汇表
glossy	adj. 有光泽的
gnaw	v. 啮，咬
gorge	n. 峡谷。 v. 塞饱
gorgeous	adj. 绚丽的，及好的
gossip	n. 闲话
govern	v. 决定，支配，控制
grab	v. 攫取，抓住
gracious	adj. 有礼貌的，仁慈的
grand	adj. 盛大的，壮丽的
grasp	v.n. 理解
grateful	adj. 感谢的
gratify	vt. 使满意
gratitude	n. 感谢，感激
gratuitous	adj. 无理由的，不需要的
gravity	n. 引力
grease	n. 动物脂，脂肪
greasy	adj. 多脂的，油脂的
greedy	adj. 贪婪的
gregarious	adj. 群居的，合群的
grievance	n. 不满
grieve	v. 悲伤
grieved	adj. 伤心的
grim	adj. 冷酷的，不吉祥的
grind	v. 折磨，压榨
grip	v. 紧握
grope	v.n. 摸索
grotty	adj. 不悦的，愠怒的
grudge	n. 恶意
grumble	v. 喃喃诉苦
grumpy	adj. 坏脾气的，性情暴躁的
guarantee	v. 确保
guileless	adj. 不狡猾的，诚实的
guise	n. 外观，装束
gush	v. 涌出
habituate	v. 习惯的
hackneyed	adj. 平凡的，陈腐的
haggle	v.n. 争论
hail	n. 冰雹， v. 欢呼, 欢迎
halt	v. 停止，踌躇
hamper	v. 阻碍
handicap	v. 妨碍，使不利
handle	v. 操纵
handy	adj. 方便的，灵巧的
haphazard	adj. 偶然的，随便的
harass	v. 侵扰
hardheaded	adj. 冷静的，顽固的
hardly	adv. 几乎不
hardy	adj.强壮的，耐劳的
harness	v. 利用
harry	v. 掠夺，折磨
harsh	adj. 严厉的，刺耳的
harvest	v.n. 收获
hasten	v. 催促，赶紧
hasty	adj. 匆忙的
hatch	v. 孵出，孵卵
hatchet	n. 短柄斧
hatred	n. 憎恶，憎恨
haughty	adj. 傲慢的，轻蔑的
haul	v. 拖曳，拖运
haunt	v. 萦绕于心，常到
haven	n. 避难所
hazard	v. 危险，公害
hazardous	adj. 危险的
head	n.头，v.向某处走去
headstrong	adj. 顽固的
heal 	v. 治愈，使和解，痊愈
healthful	adj. 有益健康的
hearsay	n. 谣传，风闻
heave	v. 用力举起，托
hectic	adj. 忙碌的，发热的
heedless	adj. 不留心的
heirship	n. 继承权
helpless	adj. 无助的
heredity	n. 遗传
heresy	n. 异端，斜说
heritage	n. 遗产
hermit	n. 隐居者
hesitate	v.犹豫，踌躇，含糊
hew	v. 砍，伐，削
hideous	adj. 骇人听闻的，丑恶的
highlight	v. 突出显示，强调
hike	n. 上升
hilarious	adj. 高兴的，热闹的
hilarity	n. 欢闹
hinder	v. 妨碍
hinge	v. 依…而定
hinge	n. 铰链
hoarse	adj. 嘶哑的
hoax	v.n. 愚弄
hoist	n. 升起，吊车
holocaust	n. 大屠杀
homage	n. 敬意
homicide	n. 杀人
homogeneous	adj. 同类的，相似的
horizontal	adj.水平的
horror	n. 恐惧
hospitable	adj. 好客的
hostile	adj. 敌对的，不友好的
howl	v.n. 嚎叫
hubbub	n. 嘈杂
human	adj. 人类的，人性的
humane	adj. 仁慈的，亲切的
humid	adj. 潮湿的
humidity	n. 潮湿
humiliate	v. 屈辱，贬义
humorous	adj. 幽默的
hump	n. 驼峰，v.隆起
hunger	n. 饥饿，渴望
hurdle	n. 篱笆，障碍
hurl	v. 孟投，猛冲
hurricane	n. 飓风
husbandry	n. 耕种，管理
hustle	v. 驱赶
hybrid	n. 杂种，混血儿
hygiene	n. 卫生
hypothesis	n. 假设
iceberg	n. 冰山
identical	adj. 同一的
identify	v. 认出
ideology	n. 意识形态
idiocy	n. 白痴
idiosyncrasy	n. 个人特性
idiot	n. 白痴，傻子
idiotic	adj. 愚蠢的
idol	n. 偶像
idyllic	adj. 田园诗的
ignite	v. 使…燃着
ignoble	adj. 卑微的
ignominious	adj. 可耻的，不名誉的
ignorance	n. 无知
ignorant	adj. 无知的，不了解的
ignore	vt. 忽视
illegible	adj. 难辨认的
illegitimate	adj. 非法的，私生的
illicit	adj. 违法的
illiterate	n. 文盲
illuminate	vt. 照亮，照明，说明
illusion	n. 幻觉
illustrate	v. 说明
illustrious	adj. 辉煌的，著名的
imaginary	adj. 虚构的
imaginative	adj. 富于想象的
imbibe	v. 饮
imbue	v. 浸染，灌输
imitate	v. 模仿
immediate	adj. 立即的
immense	adj. 巨大的，无限的
immerse	vt. 沉浸，给…施洗礼
immigrate	v. 移居入境
imminent	adj. 即将来临的
immobile	adj . 固定的
immortal	adj. 不朽的
immune	adj. 免除的，免疫的
impact	v. 影响，作用，冲击
impair	v. 损害
impale	v. 刺穿，刺住
impart	v. 给予，传递，告诉
impartial	adj. 公正的，无偏见的
impassioned	adj. 热烈的
impassive	adj. 无感情的
impatient	adj. 不耐烦的
impeach	vt. 控告，弹劾
impeccable	adj. 无暇的
impel	v. 驱使
imperative	adj. 急需的，命令的
impertinent	adj. 无关的
impervious	adj. 不能渗透的
impetuous	adj. 猛烈的，冲动的
impetus	n. 推动力
implement	v. 实现
implement	n. 工具
implicate	v. 牵连
implicit	adj. 暗示的，含蓄的
imposing	adj. 令人难忘的
impotence	n. 无效，无力，虚弱
impressionism	n. 印象派
impressively	adv. 令人难忘的
imprisonment	n. 监禁
impromptu	adj. 临时的，即兴的
impropriety	n. 不适当
improvident	adj. 浪费的
improvise	v. 即席而作
imprudent	adj. 轻率的，不谨慎的
impudent	adj. 鲁莽的
impulse	n. 冲动，刺激，推动
impulsive	adj. 易冲动的,任性的
impunity	n. 免罚
impure	adj. 脏的，不纯洁的
impurity	n.杂质
impute	v. 归咎于
inaugurate	v. 开始，使…就职
inborn	adj. 天生的
incapacitate	v. 使不能
incense	v. 激怒
incentive	n. 刺激，动机
incessant	adj. 不断的
incipient	adj. 初期的
incisive	adj. 尖锐的，深刻的
incite	v. 引起，激动，煽动
inclined	adj. 倾向的
incoherent	adj. 不连贯的
incompatible	adj. 不兼容的
incompetent	adj. 不称职的
inconceivable	adj. 不可思议的
incongruity	n. 不和谐
incongruous	adj. 不协调的
incorruptible	adj. 廉洁的
incredible	adj. 难以相信的
incredulity	n. 怀疑
incriminate	v. 控告，使负罪
incur	v. 遭遇，遭致，承担
indecent	adj. 无理的，下流的
indefatigable	adj. 不疲倦的
indefinite	adj. 不明确的，不定的
indemnity	n. 赔偿
indent	n. 缩排，缩进，契约
indicate	vt.指示，表示
indictment	n. 起诉
indifferent	adj. 冷漠的，不积极的
indigenous	adj. 土产的，固有的
indigent	adj. 贫穷的
indignant	adj. 愤慨的，义愤的
indignity	n. 侮辱
indolent	adj. 懒惰的
indomitable	adj. 不屈不挠的
induce	v. 导致，诱使
industrial	adj. 工业的
industrious	adj. 勤勉的
ineligible	adj. 无资格的，不适当的
inept	adj. 不适宜的
inert	adj. 不活泼的，迟钝的
inertial	adj. 惯性
inevitable	adj. 不可避免的，必然的
infallible	adj. 必然的，不会错的
infamous	adj. 臭名昭著的
infect	v. 传染，感染
infectious	adj. 传染的，感染性的
infer	v. 推知
inferior	adj. 下级，晚辈，次品，劣等的，自备的
inflation	n. 通货膨胀
inflexible	adj. 坚定的
inflict	v. 造成
influential	adj. 有影响的，有权势的
influx	n. 流入，灌输
informal	adj. 不拘礼节的，随便的
infringe	v. 侵犯，违反
infuse	vt. 灌输，浸渍
ingenious	adj. 机灵的，精巧制成的
inhabit	vt. 居住于，栖息于
inhabitant	n. 居民，住户
inherent	adj. 固有的
initial	adj. 初始的
initiate	v. 开始，初始，启蒙
inject	v. 注射，注入
injure	v. 伤害，损害，损伤
injurious	adj. 侮辱，损害的，诽谤的
innate	adj. 天生的
innocent	adj. 清白的，幼稚的
innovation	n. 改革，革新
innumerable	adj. 无数的
inordinate	adj. 无节制的，过度的
inquiry	n. 调查，研究
inquisitive	adj. 好奇的
insane	adj. 发狂，精神错乱的
insert	v. 插入
insinuate	v. 迂回进入，暗示
insist	v. 主张，坚持说
insolent	adj. 傲慢的，无理的
inspect	v. 检查，视察
install	v. 安装，设置
instantaneous	adj. 瞬间的，即可的
instigate	v. 鼓动
instill	v. 灌输
instinctive	adj. 天生的，本能的
institute	v. 建立， n. 研究所
instruct	v. 教，命令
instrument	n. 仪器，工具，乐器
instrumental	adj. 有帮助的，仪器的，机械的
insubordinate	adj. 不服从得
insufferable	adj. 难以忍受的
insular	adj. 海岛的，狭隘的
insult	v.n. 侮辱，凌辱
integral	adj. 组成的，整的
integrate	v. 使结合，使进入
integrity	n. 正值，完整性
intellectual	adj. 智力的
intelligence	n. 智力
intelligent	adj. 聪明的
intelligible	adj. 可理解的
intense	adj. 非常的，紧张的
intensify	v. 加强
intensive	adj. 集中的
intercede	v.调停，调解
intercept	v. 中途拦截，阻止
interest	n. 兴趣，利息
interfere	v.  干涉，干预，妨碍
interior	adj. 内部
interject	v. 突然插入
interlude	n. 间隔，插曲
intermediary	n. 媒介物，居间者
intermediate	adj. 中级的
internal	adj. 内在的
interrogate	v. 审问，询问
interrupt	v. 打断，插嘴
intersect	v. 相交
intervene	v. 干涉
intimacy	n. 熟悉，亲近
intimate	adj. 亲密的，v. 暗示
intimidate	v. 恐吓
intoxicate	vt. 使陶醉，使中毒
intrepid	adj. 勇敢的
intricate	adj. 错综复杂的，难懂的
intrinsic	adj. 本质的，本身的
intrude	v. 侵扰
intuition	n. 直觉
inure	v. 使习惯
invade	v. 侵入，侵犯
invalid	adj. 无效的，有病的
invalidate	vt. 使作废
invaluable	adj. 无价的
inventory	n. 物品清单，库存物品
inverse	n. 反的
invert	v. 倒转
investigate	v. 调查，研究
inviting	adj. 诱人的，引人注目的
invocation	n. 祈祷
invoke	v. 恳求，祈求
irreconcilable	adj. 不能妥协的
irrelevant	adj. 离题的，无关的
irrepressible	adj. 不可压制的，难以征服的
irreproachable	adj. 无可指责的
irresistible	adj. 不可抗拒的
irresolute	adj. 犹豫不决的
irreverent	adj. 不恭敬的
irrevocable	adj. 不能取消的
irrigate	vt. 灌溉
irritable	adj. 过敏的，易怒的
irritate	v. 激怒
isolate	v. 使隔离
issue	n. 问题，出版，发行, 期， v. 发行
itinerant	adj. 巡回的，流动的
jar	n.v.adj. 震动
jealous	adj. 妒忌的，猜疑的
jeer	n.v. 嘲笑
jellyfish	n. 水母
jeopardy	n. 危险
jerk	v. 急拉，抽搐
jolt	v.n. 摇动
joyous	adj. 快乐的，高兴的
judgement	n. 判决
jumble	v. 混杂
junction	n. 连接，汇合处
juncture	n. 接合点
jurisdiction	n. 司法权
justify	v. 证明…是正当的
justly	adv. 公正的
juvenile	adj. 青少年的
ken	n. 视野，知识
kidnap	vt. 绑架
kindle	v. 燃起，激起
kingdom	n. 王国
knowledgeable	adj. 有见识的
laborious	adj. 勤劳的，费力的，艰难的
labyrinth	n. 迷宫，错综复杂之事件
lag	n. 落后
lament	n. 悲伤，痛惜
land	v. 着陆，降落
languid	adj. 精神不振的
languish	v. 变衰弱
lash	v. 鞭打
lasting	adj. 持久
lately	adv. 最近
latitude	n. 纬度
laud	v.n. 赞美
laudable	adj. 值得赞美的
launch	v. 发射，透射，发动，使…升空
laurel	n. 月桂树
lavish	adj. 丰富的，浪费的
lawn	n. 草地，草坪，操场
lawsuit	n. 诉讼
lead	v. 引导，n. 铅
leading	adj. 指导的，最主要的
league	n. 同盟，联盟，联合会
leak	n. v. 泄漏
lease	v. 出租
leash	n. 牵狗的皮带，束缚
ledge	n. 壁架，突出物，暗礁
legacy	n. 遗产，遗物
legalize	v. 合法化，法律认可
legendary	adj. 传奇的
legislate	v. 立法
lethal	adj. 致命的
levy	n. v. 课税，征收
liaison	n. 联络
liberal	adj. 心胸宽大的，慷慨的
liberate	v. 释放
licenced	adj. 被许可的
limestone	n. 石灰石
limp	v. 蹒跚，瘸着走
limpid	adj. 清澈的
linguistics	n. 语言学
liquid	n. 液体
listless	adj. 冷漠的，不留心的
literate	adj. 有文化的，能读写的
lithe	adj. （指人、身体）柔软的，易弯的
loan	v. 借， 贷款
loath	dj. 不喜欢的
loathe	v. 厌恶
locate	v. 找出，设置
lofty	adj. 高耸的，高尚的
log	n. 原木，日志
logical	adj. 合逻辑的
long	v. 渴望
longitude	n. 经度
loop	n. 圈，环，环孔
loose	adj. 宽松的
loot	v. 掠夺
lottery	n. 奖券，抽奖，碰巧之事
lown	adj. 歇息，使平静
luminous	adj. 发光的, 明亮的
lure	v. 诱惑
lurk	v. 躲藏
luster	n.v. 光彩，光泽
lusty	adj. 强壮的，有精神的
luxuriant	adj. 繁茂的，多产的
luxurious	adj. 奢侈的
lyric	n. 抒情诗，歌词
